City_Name,Area_Name,Area_Type,Population,Industrial_Units,Commercial_Units,Waste_Source,Organic_Waste_kg,Plastic_Waste_kg,Metal_Waste_kg,Hazardous_Waste_kg,E_Waste_kg,Total_Waste_kg,Recycling_Rate_percent,Collection_Frequency_days,Air_Quality_Index,Waste_Category
Pune,Hinjewadi,Industrial,88804,127,188,Residential,2253,1084,1136,1179,194,5846,43.99,3,147,Mixed
Delhi,Rohini,Commercial,46553,68,83,Residential,2054,996,494,385,198,4127,56.73,2,94,Mixed
Delhi,Dwarka,Industrial,55093,102,29,Commercial,1558,558,678,628,127,3549,58.83,2,141,Mixed
Meerut,Ganga Nagar,Urban,137882,123,166,Industrial,4341,2826,1541,551,208,9467,32.02,3,126,Mixed
Pune,Shivajinagar,Urban,69432,107,347,Residential,2909,1322,1528,392,1250,7401,35.4,2,148,Non-Biodegradable
Mumbai,Bandra,Commercial,177586,145,149,Commercial,4283,1827,2162,582,637,9491,34.19,2,151,Mixed
Mumbai,Dadar,Commercial,42235,29,416,Industrial,889,560,424,263,629,2765,78.95,3,110,Non-Biodegradable
Delhi,Rohini,Commercial,101893,71,205,Commercial,4452,1712,360,583,893,8000,67.52,1,104,Mixed
Meerut,Partapur,Semi-Urban,72684,76,216,Residential,3166,1570,426,594,305,6061,36.65,3,131,Mixed
Mumbai,Bandra,Industrial,116638,29,466,Industrial,4063,1356,145,192,1119,6875,57.47,1,113,Mixed
Mumbai,Bandra,Urban,63602,122,87,Residential,2875,1201,773,1095,240,6184,71.08,1,133,Mixed
Delhi,Rohini,Industrial,191723,33,197,Residential,9393,4826,463,259,329,15270,48.99,2,96,Biodegradable
Mumbai,Dadar,Urban,72736,144,409,Residential,2751,1799,1006,770,1093,7419,45.17,1,177,Non-Biodegradable
Lucknow,Gomti Nagar,Industrial,102940,114,432,Industrial,3962,2103,1292,624,1078,9059,33.71,3,161,Mixed
Lucknow,Gomti Nagar,Industrial,69968,134,464,Residential,2538,1326,1862,1144,1918,8788,41.86,2,178,Non-Biodegradable
Pune,Kothrud,Urban,24626,46,100,Industrial,766,626,257,409,226,2284,73.47,3,82,Mixed
Pune,Pimpri-Chinchwad,Urban,108588,48,223,Commercial,5337,2742,515,273,998,9865,22.34,2,113,Mixed
Delhi,Saket,Urban,71443,38,272,Commercial,2115,1285,329,366,552,4647,67.75,1,77,Mixed
Mumbai,Bandra,Urban,137661,71,326,Residential,5065,3549,430,265,1279,10588,64.04,1,114,Mixed
Pune,Kothrud,Semi-Urban,107647,57,139,Commercial,3052,1928,479,248,626,6333,36.3,2,125,Mixed
Pune,Hinjewadi,Industrial,40858,46,107,Industrial,1178,669,493,249,162,2751,50.51,1,104,Mixed
Pune,Hinjewadi,Semi-Urban,166613,63,98,Industrial,4845,4809,566,228,144,10592,58.64,3,128,Non-Biodegradable
Mumbai,Bandra,Urban,138511,143,451,Residential,4773,4049,2033,1265,1288,13408,29.64,1,172,Non-Biodegradable
Mumbai,Dadar,Commercial,185630,112,78,Residential,6709,3170,717,839,349,11784,74.93,3,152,Mixed
Meerut,Modipuram,Industrial,113273,115,249,Industrial,4591,2991,1582,703,673,10540,51.09,1,116,Mixed
Pune,Pimpri-Chinchwad,Industrial,167300,36,466,Commercial,5315,1895,283,307,940,8740,53.27,2,82,Biodegradable
Pune,Pimpri-Chinchwad,Industrial,174360,83,224,Industrial,6176,4976,1210,619,950,13931,32.01,1,142,Non-Biodegradable
Lucknow,Indira Nagar,Industrial,182167,110,471,Industrial,7037,2368,980,835,2252,13472,49.77,2,125,Mixed
Pune,Shivajinagar,Urban,67696,30,418,Industrial,1638,1100,382,284,513,3917,65.89,1,107,Non-Biodegradable
Delhi,Dwarka,Commercial,187292,85,483,Commercial,7172,5090,602,556,2117,15537,36.44,1,101,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,125142,45,245,Residential,5564,1404,520,301,328,8117,22.76,2,117,Biodegradable
Delhi,Okhla Industrial Area,Industrial,24049,18,421,Commercial,627,290,175,77,445,1614,63.53,3,95,Non-Biodegradable
Delhi,Dwarka,Urban,162676,47,310,Commercial,5445,2626,488,261,734,9554,58.18,2,84,Mixed
Pune,Kothrud,Commercial,42255,142,403,Commercial,2024,1197,1295,1264,1844,7624,65.62,3,152,Non-Biodegradable
Lucknow,Indira Nagar,Industrial,45123,90,125,Commercial,1603,968,946,788,560,4865,54.72,2,109,Non-Biodegradable
Lucknow,Charbagh,Commercial,59620,122,117,Commercial,1648,1209,1216,440,426,4939,38.81,1,130,Non-Biodegradable
Lucknow,Indira Nagar,Urban,80389,29,154,Residential,3052,2012,408,213,341,6026,69.53,3,69,Mixed
Meerut,Modipuram,Commercial,130163,129,303,Commercial,3215,2525,1521,905,1242,9408,56.75,1,136,Non-Biodegradable
Meerut,Modipuram,Semi-Urban,75433,63,478,Industrial,2700,851,715,443,663,5372,51.1,3,120,Mixed
Lucknow,Charbagh,Commercial,34218,149,123,Commercial,1087,748,2040,579,440,4894,74.39,3,172,Non-Biodegradable
Pune,Pimpri-Chinchwad,Semi-Urban,149314,14,211,Industrial,5936,2856,101,106,338,9337,45.85,3,77,Biodegradable
Lucknow,Indira Nagar,Semi-Urban,134758,80,288,Industrial,4324,3343,705,493,1324,10189,52.76,2,116,Non-Biodegradable
Pune,Shivajinagar,Industrial,101567,74,112,Residential,3793,2112,563,430,491,7389,44.58,1,108,Mixed
Lucknow,Charbagh,Industrial,55310,28,382,Industrial,2337,1140,208,225,845,4755,51.5,3,94,Mixed
Lucknow,Indira Nagar,Semi-Urban,25379,73,445,Commercial,965,376,1051,521,1874,4787,74.11,1,103,Non-Biodegradable
Meerut,Partapur,Urban,147546,89,343,Industrial,5155,2282,1006,840,1070,10353,37.76,2,147,Mixed
Mumbai,Bandra,Urban,72217,9,136,Industrial,2176,1910,134,89,674,4983,78.51,1,73,Non-Biodegradable
Meerut,Ganga Nagar,Urban,97373,142,195,Residential,3456,1725,1046,661,514,7402,38.73,1,129,Mixed
Pune,Pimpri-Chinchwad,Urban,24596,25,138,Residential,894,510,147,223,546,2320,37.66,2,74,Non-Biodegradable
Pune,Hinjewadi,Industrial,183857,72,203,Residential,6918,5504,819,552,230,14023,34.07,2,120,Mixed
Lucknow,Indira Nagar,Industrial,32778,113,414,Residential,1325,388,1500,1010,1333,5556,34.75,2,130,Non-Biodegradable
Meerut,Modipuram,Semi-Urban,65022,77,120,Industrial,2198,667,856,409,218,4348,39.93,1,103,Mixed
Meerut,Partapur,Urban,103498,60,370,Residential,4526,2348,477,509,813,8673,34.45,1,85,Mixed
Lucknow,Gomti Nagar,Semi-Urban,96488,58,488,Industrial,3315,1097,810,330,1303,6855,77.98,1,114,Mixed
Lucknow,Charbagh,Industrial,149438,146,216,Residential,6976,2669,1494,480,750,12369,61.61,2,174,Mixed
Mumbai,Bandra,Urban,99316,142,438,Industrial,4056,1769,773,840,772,8210,33.04,2,176,Mixed
Meerut,Ganga Nagar,Commercial,91130,63,342,Residential,3494,1061,698,529,459,6241,51.02,2,117,Mixed
Lucknow,Alambagh,Urban,131440,95,75,Residential,4313,3561,673,831,223,9601,60.53,3,114,Mixed
Delhi,Dwarka,Semi-Urban,153975,73,24,Commercial,3115,3845,401,391,95,7847,27.25,3,133,Non-Biodegradable
Pune,Shivajinagar,Semi-Urban,55220,58,448,Industrial,2105,825,322,363,880,4495,23.61,2,131,Mixed
Meerut,Partapur,Industrial,78255,27,184,Industrial,2127,1718,278,199,333,4655,42.46,2,112,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,189033,82,90,Commercial,5648,3391,822,704,326,10891,20.97,1,110,Mixed
Delhi,Dwarka,Industrial,193597,95,116,Industrial,8858,4437,884,582,156,14917,27.7,3,123,Mixed
Lucknow,Gomti Nagar,Commercial,171400,18,270,Residential,4704,3511,215,108,432,8970,76.36,1,87,Mixed
Meerut,Ganga Nagar,Industrial,45183,29,237,Commercial,1029,1327,148,270,800,3574,68.44,2,103,Non-Biodegradable
Mumbai,Dadar,Commercial,135721,130,128,Commercial,3787,4051,1298,629,249,10014,66.68,3,154,Non-Biodegradable
Lucknow,Charbagh,Industrial,126675,88,90,Industrial,5830,1912,565,746,220,9273,72.86,3,130,Biodegradable
Mumbai,Dadar,Industrial,138859,48,187,Industrial,3057,2260,310,448,618,6693,27.41,2,92,Mixed
Lucknow,Gomti Nagar,Industrial,39804,89,313,Industrial,928,699,796,686,483,3592,75.44,2,141,Non-Biodegradable
Pune,Shivajinagar,Commercial,50184,108,106,Industrial,1394,555,1161,751,375,4236,44.27,2,145,Mixed
Meerut,Modipuram,Commercial,108526,148,442,Industrial,3290,3172,1057,657,1218,9394,54.66,3,163,Non-Biodegradable
Pune,Kothrud,Industrial,161645,133,283,Commercial,6764,2494,1262,571,1200,12291,43.75,3,155,Mixed
Mumbai,Dadar,Commercial,24268,120,184,Commercial,867,648,817,644,437,3413,21.17,1,153,Non-Biodegradable
Lucknow,Charbagh,Urban,147212,148,242,Industrial,6320,4027,992,1386,917,13642,40.97,3,155,Mixed
Pune,Kothrud,Commercial,28496,109,85,Industrial,839,799,635,1055,220,3548,47.08,1,146,Hazardous
Pune,Pimpri-Chinchwad,Commercial,135525,23,403,Industrial,2902,2432,328,166,1066,6894,50.98,3,102,Non-Biodegradable
Meerut,Shastri Nagar,Commercial,157567,61,286,Residential,3599,1605,845,295,766,7110,55.91,2,92,Mixed
Meerut,Partapur,Urban,21941,61,349,Commercial,562,638,563,537,1392,3692,20.11,1,96,Non-Biodegradable
Lucknow,Gomti Nagar,Urban,188731,140,93,Residential,6465,2405,767,845,423,10905,42.8,1,174,Mixed
Meerut,Shastri Nagar,Urban,95734,58,334,Industrial,4338,2159,787,361,1257,8902,21.07,3,130,Mixed
Meerut,Partapur,Urban,79132,58,193,Industrial,2298,2274,332,551,443,5898,75.45,1,104,Non-Biodegradable
Lucknow,Charbagh,Commercial,167434,148,497,Industrial,6441,4609,1931,1455,1734,16170,30.45,1,162,Non-Biodegradable
Lucknow,Gomti Nagar,Urban,44004,37,243,Commercial,2039,909,527,156,958,4589,23.85,3,87,Non-Biodegradable
Meerut,Modipuram,Industrial,107956,99,417,Commercial,2293,1508,830,890,1881,7402,77.75,2,128,Non-Biodegradable
Delhi,Okhla Industrial Area,Industrial,183633,57,171,Residential,5369,4585,672,234,747,11607,58.77,2,82,Non-Biodegradable
Delhi,Okhla Industrial Area,Commercial,140660,32,88,Commercial,5223,2775,431,267,286,8982,38.54,2,87,Mixed
Delhi,Okhla Industrial Area,Urban,179880,113,201,Commercial,3655,3120,710,565,299,8349,75.41,3,133,Mixed
Meerut,Modipuram,Urban,184939,86,152,Commercial,6270,3282,1271,381,736,11940,61.08,3,121,Mixed
Mumbai,Powai,Industrial,145130,64,194,Residential,5347,2729,910,405,948,10339,78.62,1,117,Mixed
Mumbai,Andheri,Urban,56930,37,120,Residential,1376,1679,456,143,449,4103,53.98,3,86,Non-Biodegradable
Lucknow,Alambagh,Commercial,106317,80,218,Residential,3938,2022,412,250,1088,7710,47.26,2,113,Mixed
Delhi,Dwarka,Industrial,122675,134,155,Residential,5113,2804,1726,752,357,10752,21.65,3,149,Mixed
Meerut,Partapur,Urban,183548,79,125,Residential,7304,3611,1156,293,200,12564,62.98,3,104,Mixed
Lucknow,Gomti Nagar,Semi-Urban,74200,5,338,Residential,3355,1619,29,32,1279,6314,23.42,1,55,Mixed
Pune,Shivajinagar,Urban,195561,106,103,Commercial,7381,3489,1259,804,399,13332,56.34,1,150,Mixed
Delhi,Dwarka,Urban,32622,93,299,Residential,773,913,719,681,719,3805,29.35,3,141,Non-Biodegradable
Mumbai,Andheri,Semi-Urban,103094,32,265,Commercial,3196,1263,341,126,1137,6063,63.76,3,101,Mixed
Delhi,Saket,Commercial,155982,66,310,Commercial,4073,3376,335,345,1483,9612,71.63,3,113,Non-Biodegradable
Delhi,Rohini,Commercial,171483,30,224,Industrial,6448,4285,388,276,1044,12441,28.99,3,86,Mixed
Delhi,Dwarka,Urban,91367,129,340,Industrial,1998,2736,1072,1023,619,7448,68.36,2,129,Non-Biodegradable
Pune,Pimpri-Chinchwad,Commercial,138063,63,311,Commercial,4435,3869,881,390,1523,11098,69.1,2,120,Non-Biodegradable
Pune,Hinjewadi,Commercial,66954,48,339,Industrial,1804,1447,477,363,1446,5537,49.79,3,80,Non-Biodegradable
Meerut,Partapur,Commercial,138493,112,397,Industrial,4408,2301,1332,1115,1290,10446,63.88,2,165,Mixed
Delhi,Rohini,Urban,120537,68,316,Commercial,4093,2949,524,535,859,8960,49.11,3,120,Mixed
Meerut,Partapur,Industrial,94785,56,397,Industrial,3947,2473,391,171,1045,8027,63.68,1,97,Mixed
Pune,Hinjewadi,Industrial,74763,34,114,Commercial,2969,2145,402,297,321,6134,62.38,3,104,Mixed
Meerut,Ganga Nagar,Semi-Urban,145911,105,106,Commercial,6359,4132,548,369,473,11881,34.44,3,142,Mixed
Lucknow,Alambagh,Industrial,29894,148,189,Residential,1419,730,1582,593,230,4554,40.07,3,166,Non-Biodegradable
Meerut,Partapur,Semi-Urban,131896,98,98,Commercial,5853,2491,1386,528,401,10659,50.38,2,110,Mixed
Lucknow,Alambagh,Industrial,171709,111,454,Residential,3641,4186,946,381,904,10058,56.7,1,130,Non-Biodegradable
Meerut,Modipuram,Semi-Urban,103042,39,358,Industrial,4869,2355,477,324,1545,9570,24.62,2,79,Mixed
Pune,Kothrud,Industrial,167948,133,107,Residential,7212,4945,1065,1130,282,14634,78.25,1,132,Mixed
Lucknow,Charbagh,Urban,175524,59,481,Industrial,7933,5254,394,329,1323,15233,26.62,2,91,Mixed
Delhi,Okhla Industrial Area,Industrial,62476,69,60,Residential,2387,1137,696,300,196,4716,54.6,1,121,Mixed
Meerut,Ganga Nagar,Urban,114966,144,399,Residential,3480,1249,2020,1312,1368,9429,49.6,1,137,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,48646,86,293,Commercial,1435,539,874,680,1237,4765,39.95,3,148,Non-Biodegradable
Lucknow,Charbagh,Semi-Urban,58517,112,145,Industrial,2891,1336,567,946,543,6283,22.19,2,156,Mixed
Delhi,Saket,Urban,188615,132,393,Commercial,9348,2821,741,1017,1806,15733,63.01,2,155,Mixed
Lucknow,Alambagh,Commercial,110105,49,20,Residential,3569,1835,267,365,36,6072,24.62,1,108,Mixed
Delhi,Saket,Commercial,161246,142,207,Residential,3808,1969,728,560,603,7668,26.51,2,133,Mixed
Pune,Kothrud,Commercial,59742,94,135,Residential,2462,1212,776,290,581,5321,61.03,1,149,Mixed
Meerut,Shastri Nagar,Industrial,60957,52,488,Commercial,2771,765,748,370,1696,6350,44.9,2,84,Non-Biodegradable
Delhi,Rohini,Industrial,30384,124,100,Commercial,624,807,1197,993,195,3816,49.84,1,135,Hazardous
Mumbai,Powai,Semi-Urban,41348,105,345,Industrial,1820,894,1383,908,1464,6469,53.16,1,144,Non-Biodegradable
Mumbai,Dadar,Semi-Urban,71843,93,345,Industrial,2909,795,1273,883,1643,7503,69.41,2,106,Mixed
Delhi,Dwarka,Industrial,164981,24,485,Industrial,4601,4094,342,142,1877,11056,43.12,2,85,Non-Biodegradable
Mumbai,Andheri,Semi-Urban,80155,110,389,Commercial,2980,987,1554,758,506,6785,35.95,3,117,Mixed
Delhi,Dwarka,Commercial,123043,8,328,Residential,2713,3444,113,44,1614,7928,39.64,2,59,Non-Biodegradable
Mumbai,Andheri,Industrial,186166,93,200,Commercial,5638,4525,1392,547,318,12420,78.93,3,123,Non-Biodegradable
Lucknow,Gomti Nagar,Urban,183154,107,81,Industrial,6325,2591,1350,966,180,11412,30.01,3,147,Mixed
Delhi,Rohini,Urban,167256,80,359,Industrial,7197,4389,784,502,698,13570,50.84,1,118,Mixed
Meerut,Shastri Nagar,Semi-Urban,84468,69,67,Residential,3204,1136,559,506,270,5675,61.73,1,132,Mixed
Mumbai,Powai,Industrial,45469,85,194,Industrial,911,1256,929,340,388,3824,79.1,1,139,Non-Biodegradable
Delhi,Saket,Urban,36509,149,265,Industrial,938,916,1642,910,1240,5646,25.64,3,149,Non-Biodegradable
Delhi,Saket,Urban,189051,131,418,Commercial,3907,3160,1903,622,610,10202,30.69,2,127,Non-Biodegradable
Mumbai,Bandra,Industrial,132451,11,478,Commercial,2935,2260,122,84,1008,6409,59.67,2,79,Non-Biodegradable
Pune,Kothrud,Industrial,152018,58,286,Industrial,4657,4182,732,410,1095,11076,71.04,3,116,Non-Biodegradable
Pune,Kothrud,Commercial,166478,114,336,Residential,7826,2254,1229,892,1057,13258,39.58,3,147,Mixed
Delhi,Okhla Industrial Area,Commercial,128475,35,461,Industrial,6267,1843,177,243,1242,9772,23.74,3,88,Biodegradable
Mumbai,Powai,Commercial,144914,135,465,Commercial,6726,2977,1297,795,1325,13120,51.12,2,166,Mixed
Meerut,Ganga Nagar,Semi-Urban,141370,59,354,Industrial,3591,3866,382,260,489,8588,43.07,2,91,Non-Biodegradable
Pune,Hinjewadi,Urban,152049,138,469,Residential,5569,4252,1385,1183,816,13205,50.01,2,138,Mixed
Lucknow,Alambagh,Industrial,41589,93,423,Industrial,1067,845,1213,427,1275,4827,77.73,2,121,Non-Biodegradable
Delhi,Saket,Industrial,143161,16,240,Commercial,3302,3614,205,77,388,7586,55.9,3,74,Non-Biodegradable
Lucknow,Alambagh,Industrial,64125,107,172,Commercial,3179,1570,1120,573,271,6713,44.34,3,135,Mixed
Delhi,Saket,Urban,196748,113,202,Commercial,4270,3382,787,624,599,9662,54.58,3,141,Mixed
Pune,Hinjewadi,Commercial,142090,9,333,Residential,2970,2742,83,38,751,6584,54.48,1,65,Non-Biodegradable
Meerut,Ganga Nagar,Industrial,163052,111,458,Residential,7795,4872,561,469,1424,15121,21.01,2,123,Mixed
Pune,Shivajinagar,Industrial,189439,70,57,Residential,9242,5466,400,521,105,15734,74.85,1,129,Mixed
Meerut,Ganga Nagar,Commercial,43698,51,174,Industrial,1266,1237,577,235,760,4075,70.7,1,107,Non-Biodegradable
Pune,Shivajinagar,Commercial,44496,96,287,Industrial,1714,1123,503,846,1183,5369,75.83,3,119,Non-Biodegradable
Lucknow,Alambagh,Semi-Urban,104325,48,26,Commercial,4335,2202,593,164,28,7322,76.49,2,90,Mixed
Meerut,Partapur,Urban,77182,65,412,Residential,2899,1407,346,324,1778,6754,65.32,3,97,Non-Biodegradable
Delhi,Saket,Urban,77281,58,165,Industrial,2216,1305,800,490,350,5161,65.11,2,113,Mixed
Delhi,Okhla Industrial Area,Industrial,169788,17,30,Commercial,7895,4085,160,156,88,12384,61.26,3,97,Biodegradable
Mumbai,Andheri,Urban,37769,141,495,Industrial,1707,1049,971,659,2316,6702,52.68,2,176,Non-Biodegradable
Lucknow,Alambagh,Urban,164184,48,140,Industrial,5637,2853,259,388,374,9511,31.12,3,107,Mixed
Lucknow,Gomti Nagar,Commercial,64707,116,279,Industrial,2799,1483,954,354,1367,6957,36.28,2,147,Non-Biodegradable
Mumbai,Powai,Industrial,74106,34,106,Industrial,3101,1975,228,294,180,5778,30.9,1,101,Mixed
Pune,Pimpri-Chinchwad,Semi-Urban,125779,85,304,Industrial,5615,2493,922,798,1039,10867,54.86,2,112,Mixed
Meerut,Shastri Nagar,Industrial,23487,8,79,Industrial,526,485,74,24,321,1430,77.31,2,61,Non-Biodegradable
Meerut,Shastri Nagar,Industrial,163329,147,289,Industrial,4390,2253,2055,956,1093,10747,51.24,2,165,Non-Biodegradable
Lucknow,Indira Nagar,Industrial,146302,136,351,Commercial,3394,3283,1948,1167,1698,11490,75.11,1,154,Non-Biodegradable
Pune,Shivajinagar,Semi-Urban,29961,63,211,Industrial,1046,832,783,625,786,4072,45.2,3,135,Non-Biodegradable
Mumbai,Andheri,Industrial,47827,146,72,Industrial,1267,1144,1097,926,197,4631,55.08,3,138,Non-Biodegradable
Mumbai,Bandra,Semi-Urban,20460,5,76,Industrial,918,516,52,24,238,1748,32.26,3,77,Mixed
Delhi,Dwarka,Semi-Urban,108119,33,80,Residential,5380,2699,392,188,379,9038,53.72,1,83,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,45973,34,212,Industrial,1286,1267,229,229,771,3782,66.08,1,88,Non-Biodegradable
Mumbai,Powai,Urban,82659,99,221,Residential,1898,1177,1400,800,486,5761,44.02,2,154,Non-Biodegradable
Delhi,Rohini,Commercial,195115,86,295,Residential,4460,5562,685,817,1470,12994,72.17,3,140,Non-Biodegradable
Lucknow,Gomti Nagar,Industrial,178010,117,379,Commercial,8881,4944,1637,448,1115,17025,49.33,2,123,Mixed
Delhi,Dwarka,Industrial,73314,54,226,Commercial,2600,2117,532,522,365,6136,32.84,2,99,Mixed
Meerut,Ganga Nagar,Semi-Urban,132669,112,427,Industrial,6255,2875,647,557,1789,12123,38.4,1,111,Mixed
Delhi,Saket,Commercial,182846,120,344,Commercial,6212,2181,1655,751,1392,12191,70.12,1,119,Mixed
Meerut,Shastri Nagar,Commercial,83892,120,406,Commercial,2282,2066,1550,421,1928,8247,39.55,3,137,Non-Biodegradable
Pune,Hinjewadi,Commercial,103233,53,306,Industrial,4827,1553,486,167,1470,8503,47.14,1,89,Mixed
Meerut,Modipuram,Semi-Urban,112359,73,385,Commercial,3264,1662,526,422,995,6869,73.61,2,121,Mixed
Delhi,Saket,Industrial,66558,55,446,Commercial,1497,1492,697,365,1255,5306,52.71,3,90,Non-Biodegradable
Mumbai,Dadar,Semi-Urban,101925,102,359,Industrial,2373,1837,1074,926,1563,7773,59.43,3,136,Non-Biodegradable
Meerut,Partapur,Semi-Urban,105246,129,78,Industrial,2319,2093,812,872,257,6353,24.7,2,168,Mixed
Mumbai,Powai,Semi-Urban,100254,20,482,Commercial,4910,2545,108,86,715,8364,65.65,3,80,Mixed
Delhi,Saket,Industrial,125049,21,285,Industrial,3551,1516,234,173,676,6150,74.51,2,110,Mixed
Meerut,Modipuram,Urban,98831,139,25,Industrial,2047,2305,720,733,122,5927,44.25,2,154,Non-Biodegradable
Lucknow,Indira Nagar,Commercial,99942,10,96,Residential,2194,2051,69,98,414,4826,40.96,1,74,Non-Biodegradable
Meerut,Shastri Nagar,Urban,95459,13,346,Industrial,3593,1704,168,113,808,6386,75.28,1,79,Mixed
Pune,Hinjewadi,Semi-Urban,82958,141,412,Industrial,2473,1006,727,872,592,5670,22.68,1,154,Mixed
Pune,Shivajinagar,Commercial,34435,37,472,Industrial,708,565,464,310,1289,3336,55.12,3,88,Non-Biodegradable
Meerut,Partapur,Industrial,165546,113,314,Industrial,6401,1865,1256,1022,837,11381,69.17,1,135,Mixed
Lucknow,Alambagh,Urban,193071,30,265,Industrial,6254,4985,348,194,632,12413,78.55,1,73,Mixed
Lucknow,Indira Nagar,Urban,119620,135,375,Industrial,3971,1280,1670,618,1555,9094,79.73,2,131,Mixed
Pune,Shivajinagar,Industrial,45986,29,212,Residential,2268,1045,319,140,636,4408,56.2,3,101,Mixed
Pune,Shivajinagar,Semi-Urban,77554,113,213,Commercial,3082,2159,1156,412,995,7804,21.35,1,115,Non-Biodegradable
Meerut,Partapur,Industrial,33817,112,125,Commercial,809,927,858,934,291,3819,77.42,2,143,Non-Biodegradable
Meerut,Ganga Nagar,Urban,64906,129,268,Commercial,2412,1321,1020,1080,959,6792,74.45,2,134,Mixed
Mumbai,Powai,Industrial,175726,64,211,Commercial,5364,1892,704,425,442,8827,24.39,3,124,Biodegradable
Mumbai,Andheri,Semi-Urban,55606,49,325,Commercial,1420,1483,646,215,1455,5219,55.6,2,111,Non-Biodegradable
Delhi,Okhla Industrial Area,Semi-Urban,179183,48,399,Industrial,6205,3006,252,200,681,10344,29.6,1,84,Mixed
Mumbai,Powai,Industrial,46703,41,40,Industrial,1018,1095,444,355,137,3049,72.5,1,100,Non-Biodegradable
Lucknow,Gomti Nagar,Urban,90048,126,83,Residential,3638,1772,1482,911,117,7920,62.71,2,150,Mixed
Meerut,Shastri Nagar,Urban,177911,143,389,Residential,6758,5317,1152,580,898,14705,52.17,2,140,Non-Biodegradable
Delhi,Dwarka,Urban,176905,61,471,Industrial,8149,4322,446,499,1560,14976,67.36,1,122,Mixed
Mumbai,Powai,Urban,94159,19,116,Residential,3236,1412,279,97,150,5174,79.57,1,98,Biodegradable
Lucknow,Charbagh,Semi-Urban,33546,122,449,Residential,1620,932,1205,379,1384,5520,49.04,1,151,Non-Biodegradable
Delhi,Dwarka,Urban,56956,88,316,Industrial,1806,1407,645,563,1166,5587,46.03,1,100,Non-Biodegradable
Delhi,Okhla Industrial Area,Industrial,141141,16,242,Residential,4320,2434,151,99,520,7524,66.08,3,107,Mixed
Mumbai,Dadar,Industrial,101846,48,207,Commercial,2701,2271,481,185,649,6287,77.78,3,83,Non-Biodegradable
Mumbai,Dadar,Industrial,154346,139,64,Commercial,7473,2597,1972,1363,226,13631,64.35,2,166,Mixed
Mumbai,Powai,Industrial,162153,125,450,Industrial,5723,3956,1754,450,1536,13419,73.24,3,141,Non-Biodegradable
Meerut,Modipuram,Industrial,21585,21,253,Commercial,823,568,195,136,1208,2930,41.13,2,93,Non-Biodegradable
Meerut,Modipuram,Urban,62778,145,347,Commercial,2425,1249,1047,851,1369,6941,38.28,3,171,Non-Biodegradable
Mumbai,Dadar,Urban,106176,61,308,Residential,5084,2232,620,256,464,8656,33.03,3,96,Mixed
Lucknow,Alambagh,Semi-Urban,198909,32,68,Industrial,9644,3183,416,234,110,13587,68.32,2,84,Biodegradable
Mumbai,Bandra,Urban,147992,73,205,Commercial,7208,3293,532,702,361,12096,31.36,2,118,Mixed
Mumbai,Bandra,Commercial,50841,55,250,Residential,1479,1513,422,379,861,4654,28.09,1,81,Non-Biodegradable
Delhi,Dwarka,Semi-Urban,89953,36,298,Commercial,2906,2554,461,352,462,6735,51.64,2,76,Non-Biodegradable
Mumbai,Bandra,Industrial,45674,8,245,Residential,1564,904,42,37,474,3021,68.76,3,97,Mixed
Pune,Shivajinagar,Semi-Urban,161240,61,412,Commercial,5977,1807,327,557,835,9503,69.32,1,135,Biodegradable
Lucknow,Alambagh,Semi-Urban,74118,64,418,Residential,3283,1955,640,579,454,6911,77.49,3,105,Mixed
Delhi,Rohini,Urban,158120,101,214,Residential,5613,4567,1008,555,296,12039,42.44,1,106,Mixed
Delhi,Saket,Semi-Urban,196527,26,385,Industrial,7475,5846,206,219,1459,15205,23.73,3,72,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,58711,93,292,Commercial,1221,1036,841,349,660,4107,24.79,2,125,Non-Biodegradable
Mumbai,Powai,Industrial,40885,76,321,Industrial,1491,1032,532,658,1209,4922,20.4,1,127,Non-Biodegradable
Delhi,Okhla Industrial Area,Semi-Urban,165087,122,245,Industrial,7618,2497,1646,844,562,13167,47.01,1,155,Mixed
Pune,Shivajinagar,Commercial,107320,81,350,Industrial,5077,1108,589,278,1498,8550,21.02,2,108,Mixed
Meerut,Shastri Nagar,Commercial,100181,53,271,Residential,2229,2473,674,256,1205,6837,27.92,2,113,Non-Biodegradable
Pune,Pimpri-Chinchwad,Urban,82164,55,290,Industrial,2940,1408,454,507,318,5627,25.31,3,94,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,138995,149,45,Industrial,4913,4107,1232,1103,208,11563,53.55,1,184,Mixed
Mumbai,Dadar,Urban,59514,41,248,Industrial,2294,1360,543,251,816,5264,21.04,1,77,Non-Biodegradable
Pune,Hinjewadi,Semi-Urban,101364,128,433,Industrial,3646,2569,754,458,1105,8532,39.57,1,167,Non-Biodegradable
Lucknow,Charbagh,Industrial,198596,26,387,Residential,7631,2579,357,204,403,11174,35.29,3,101,Biodegradable
Mumbai,Bandra,Commercial,144275,100,225,Industrial,6363,2465,965,301,875,10969,22.33,1,131,Mixed
